AIX,Linux,"OS_compatibility","SPL root search",Solaris,description,"formula (or field name if not evaluated)","is_evaluated","long_description","main_type","nmon_section","perf_item",sourcetype,unity
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The ID of the parent process.",ppid,false,"The ID of the parent process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",id
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The user ID of the process.",User,false,"The user ID of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",id
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The ID of the process group.","Proc Group",false,"The ID of the process group.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",id
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The initial priority of a process. This value is set by the nice command.",Nice,false,"The initial priority of a process. This value is set by the nice command.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",Nbr
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The base schedule priority of a process.",Priority,false,"The base schedule priority of a process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",Nbr
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The status of a program.",Status,false,"The status of a program.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",Nbr
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The flag of a process.","Proc_Flag",false,"The flag of a process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",Nbr
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The number of threads.",Thrds,false,"The number of threads.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",Nbr
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The maximum file index that is in use.",Files,false,"The maximum file index that is in use.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",Nbr
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"Foreground process or background process.",Foreground,false,"Foreground process or background process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",Nbr
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The name of the command.",Command,false,"The name of the command.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The time when the command started.","Time Start",false,"The time when the command started.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The total time that the process takes since it starts.","CPU-Total",false,"The total time that the process takes since it starts.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The total time that the child process takes since it starts.","Child Total",false,"The total time that the child process takes since it starts.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The total time taken by the process in the interval.","Delta-Total",false,"The total time taken by the process in the interval.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The percentage of the processor that is used in the last interval.","%CPU Used",false,"The percentage of the processor that is used in the last interval.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The size of the pages in kilobytes.","Size KB",false,"The size of the pages in kilobytes.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",kilobytes
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The sum of real-memory data (resident set) and real-memory (resident set) text size of the process.","Res Size",false,"The sum of real-memory data (resident set) and real-memory (resident set) text size of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",kilobytes
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The sum of real-memory data (resident set) and real-memory (resident set) text size of the process.","Res Set",false,"The sum of real-memory data (resident set) and real-memory (resident set) text size of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",kilobytes
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The real-memory text size of the process.","Res Text",false,"The real-memory text size of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",kilobytes
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The real-memory data size of the process.","Res Data",false,"The real-memory data size of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",kilobytes
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The number of I/O characters per second from the last interval.","Char I/O",false,"The number of I/O characters per second from the last interval.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","I/O"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The percentage of the RAM that is used.","RAM Use",false,"The percentage of the RAM that is used.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The I/O page faults per second in the last interval.","Paging I/O",false,"The I/O page faults per second in the last interval.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The non-I/O page faults per second in the last interval.","Paging Other",false,"The non-I/O page faults per second in the last interval.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The number of repage faults per second in the last interval.","Paging Repages",false,"The number of repage faults per second in the last interval.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"The Workload Manager class name of the process.",Class,false,"The Workload Manager class name of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"process id. Only processes with %CPU >= .1% are listed",PID,false,"process id. Only processes with %CPU >= .1% are listed","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",id
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) average amount of CPU used by this process","%CPU",false,"(%) average amount of CPU used by this process Same as 'prstat.CPU' ","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
