"index","sourcetype","main_type","perf_item","nmon_section","unity","description","long_description","formula (or field name if not evaluated)","is_evaluated","OS_compatibility","AIX","Linux","Solaris","SPL root search"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","id","The ID of the process.","The ID of the process.","pid","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","id","The ID of the parent process.","The ID of the parent process.","ppid","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","id","The user ID of the process.","The user ID of the process.","User","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","id","The ID of the process group.","The ID of the process group.","Proc Group","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Nbr","The initial priority of a process. This value is set by the nice command.","The initial priority of a process. This value is set by the nice command.","Nice","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Nbr","The base schedule priority of a process.","The base schedule priority of a process.","Priority","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Nbr","The status of a program.","The status of a program.","Status","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Nbr","The flag of a process.","The flag of a process.","Proc_Flag","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Nbr","The number of threads.","The number of threads.","Thrds","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Nbr","The maximum file index that is in use.","The maximum file index that is in use.","Files","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Nbr","Foreground process or background process.","Foreground process or background process.","Foreground","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","string","The name of the command.","The name of the command.","Command","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","string","The time when the command started.","The time when the command started.","Time Start","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","string","The total time that the process takes since it starts.","The total time that the process takes since it starts.","CPU-Total","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","string","The total time that the child process takes since it starts.","The total time that the child process takes since it starts.","Child Total","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","string","The total time taken by the process in the interval.","The total time taken by the process in the interval.","Delta-Total","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","%","The percentage of the processor that is used in the last interval.","The percentage of the processor that is used in the last interval.","%CPU Used","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","kilobytes","The size of the pages in kilobytes.","The size of the pages in kilobytes.","Size KB","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","kilobytes","The sum of real-memory data (resident set) and real-memory (resident set) text size of the process.","The sum of real-memory data (resident set) and real-memory (resident set) text size of the process.","Res Size","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","kilobytes","The sum of real-memory data (resident set) and real-memory (resident set) text size of the process.","The sum of real-memory data (resident set) and real-memory (resident set) text size of the process.","Res Set","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","kilobytes","The real-memory text size of the process.","The real-memory text size of the process.","Res Text","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","kilobytes","The real-memory data size of the process.","The real-memory data size of the process.","Res Data","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","I/O","The number of I/O characters per second from the last interval.","The number of I/O characters per second from the last interval.","Char I/O","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","%","The percentage of the RAM that is used.","The percentage of the RAM that is used.","RAM Use","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Pages/sec","The I/O page faults per second in the last interval.","The I/O page faults per second in the last interval.","Paging I/O","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Pages/sec","The non-I/O page faults per second in the last interval.","The non-I/O page faults per second in the last interval.","Paging Other","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","Pages/sec","The number of repage faults per second in the last interval.","The number of repage faults per second in the last interval.","Paging Repages","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","string","The Workload Manager class name of the process.","The Workload Manager class name of the process.","Class","false","AIX","true","false","false","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
,,,,,,,,,,,,,,
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","id","process id. Only processes with %CPU >= .1% are listed","process id. Only processes with %CPU >= .1% are listed","PID","false","Solaris","false","false","true","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
"index=nmon","sourcetype=nmon_data","Performance Data","PROCESSES STATISTICS","TOP","%","(%) average amount of CPU used by this process","(%) average amount of CPU used by this process Same as 'prstat.CPU' ","%CPU","false","Solaris","false","false","true","eventtype=nmon:performance sourcetype=nmon_data type=TOP"
